Cloud,Vmware stack ,VMware Cloud Technical specialist,,Virtualization ,understand the basics (Gareth intro) ,knowledge based on Vmware Vsphere ICM training ,VCP (knowledge and certifications/contract) ,"knows the difference between Virtualization Hypervisors (Vmware, Hyper V, OpenStack) ",,,,,,,,,,,,
Computing,Windows ,Windows Technical Specialist,TOOLS ,"Monitoring (TrueSight, Patrol)",,"Monitoring - valid/not-valid alerts
Knows our baselines (Server management , AD, Cluster, HW)  ","Monitoring supress, blackout
Knows how to filter not valid monitoring ","Monitoring supress, blackout
Knows how to filter not valid monitoring ","Monitoring supress, blackout
Knows how to filter not valid monitoring ","Monitoring supress, blackout
Knows how to filter not valid monitoring ",,,,,,,,,,
Computing,Windows ,Windows Technical Specialist,TOOLS ,Backup/Restore,"Difference among incremental,  Differencial backup and full backup ","Backup - knowlegde of backup tools (Hiback, TSM, Legato, NetBackup, DFSR)
Restore processes
","Backup - knowlegde of backup tools (Hiback, TSM, Legato, NetBackup, DFSR)
Restore processes
","Backup - knowlegde of backup tools (Hiback, TSM, Legato, NetBackup, DFSR)
Restore processes
","Backup - knowlegde of backup tools (Hiback, TSM, Legato, NetBackup, DFSR)
Restore processes
","Backup - knowlegde of backup tools (Hiback, TSM, Legato, NetBackup, DFSR)
Restore processes
",,,,,,,,,,
Computing,Windows ,Windows Technical Specialist,TOOLS ,Storages in Tieto,"Storage knowledge 
RAID typology ","To have overview of all storages in Tieto to be able to extend disk on all types of storages 
Storage boxes, vendors, technology, SAN, NAS, disks, tiers
FIN / SWE differences
HA, DR","To have overview of all storages in Tieto to be able to extend disk on all types of storages 
Storage boxes, vendors, technology, SAN, NAS, disks, tiers
FIN / SWE differences
HA, DR","To have overview of all storages in Tieto to be able to extend disk on all types of storages 
Storage boxes, vendors, technology, SAN, NAS, disks, tiers
FIN / SWE differences
HA, DR","To have overview of all storages in Tieto to be able to extend disk on all types of storages 
Storage boxes, vendors, technology, SAN, NAS, disks, tiers
FIN / SWE differences
HA, DR","To have overview of all storages in Tieto to be able to extend disk on all types of storages 
Storage boxes, vendors, technology, SAN, NAS, disks, tiers
FIN / SWE differences
HA, DR",,,,,,,,,,
Computing,Windows ,Windows Technical Specialist,TOOLS ,HP Blade system essentials,,Brief training about HP blade enclosures and their parts. Touch it physically and inspect all parts.,Brief training about HP blade enclosures and their parts. Touch it physically and inspect all parts.,Brief training about HP blade enclosures and their parts. Touch it physically and inspect all parts.,Brief training about HP blade enclosures and their parts. Touch it physically and inspect all parts.,Brief training about HP blade enclosures and their parts. Touch it physically and inspect all parts.,,,,,,,,,,
Computing,Windows ,Windows Technical Specialist,TOOLS ,"Internal orders (gOrder, Catalog Item orders)",,Know how to process internal orders,Know how to process internal orders,Know how to process internal orders,Know how to process internal orders,Know how to process internal orders,,,,,,,,,,
Computing,Windows ,Windows Technical Specialist,TOOLS ,"Internal Tieto Tools (MyData, MyTime, ShiftMaster, VPN, AARM, Google Apps, O365, Workday)",,Understand internal Tieto tools and knows how to use them,Understand internal Tieto tools and knows how to use them,Understand internal Tieto tools and knows how to use them,Understand internal Tieto tools and knows how to use them,Understand internal Tieto tools and knows how to use them,,,,,,,,,,
Computing,Windows ,Windows Technical Specialist,TOOLS ,"Tieto platforms and remote management (TPC, TCS, Azure, x86 virtual and physical capacity, onPremise, TCSO, emergency access)",,Undestand all Tieto plaforms/environments and knows how to access them,Undestand all Tieto plaforms/environments and knows how to access them,Undestand all Tieto plaforms/environments and knows how to access them,Undestand all Tieto plaforms/environments and knows how to access them,Undestand all Tieto plaforms/environments and knows how to access them,,,,,,,,,,
Computing,Windows ,Windows Technical Specialist,TOOLS ,CMDB (TONE),Understand ticket flow and priority,"Able to create/process all type of tickets (Incident/Request/Problem/Change/Task/KB/CMDB) 
SLA/OLA
Critical queue
Knows how to process 150/425 tasks",Change desing,Change desing,Change desing,Change desing,,,,,,,,,,
Computing,Windows ,Windows Technical Specialist,TOOLS ,CMDB (ServiceNow),Understand ticket flow and priority,"Able to create/process all type of tickets (Incident/Request/Problem/Change/Task/KB/CMDB) 
SLA/OLA
Critical queue
Knows how to process 150/425 tasks",Change desing,Change desing,Change desing,Change desing,,,,,,,,,,
Computing,Windows ,Windows Technical Specialist,TOOLS ,"Hadware issues
Vendor cases (HP, Dell) ",,fulfill requirement for hardware exchange ,fulfill requirement for hardware exchange ,,,,,,,,,,,,,
Computing,Windows ,Windows Technical Specialist,TOOLS ,"Sources of information (SIP, TietoShare, Wikia, Confluence, TED/TEP, Teamer, Jira, xWiki, Teamer, TED, TEP, Sydi)",,Understand document management system in Tieto,Understand document management system in Tieto,Understand document management system in Tieto,Understand document management system in Tieto,Understand document management system in Tieto,,,,,,,,,,
Computing,Windows ,Windows Technical Specialist,Other ,Tieto structure,,Managerial structure introduction,Managerial structure orientation ,Managerial structure orientation ,Managerial structure orientation ,Managerial structure orientation ,,,,,,,,,,
Computing,Windows ,Windows Technical Specialist,Other ,OS troubleshooting,,Advanced OS troubleshooting,Advanced OS troubleshooting,Advanced OS troubleshooting,Advanced OS troubleshooting,Advanced OS troubleshooting,,,,,,,,,,
Computing,Windows ,Windows Technical Specialist,Other ,MIM case handling,,MIM process workflow for Win technicians,MIM process workflow for Win technicians,MIM process workflow for Win technicians,MIM process workflow for Win technicians,MIM process workflow for Win technicians,,,,,,,,,,
Computing,Back Up ,Backup Technical Specialist ,Novastor HiBack,,"Main Competence Area: Backup technology/�logies knowledge, knowledge of terminology, types of BUs etc., Storages, Tapes, Libraries etc. Basic knowledge of WIN and Linux server OS administration, AD, basic knowledge of network.","Basic backup implementation tasks 
Basic backup decomm tasks 
Basic troubleshooting of failed backups 
reporting ","TS2 +
more complex backup implementation tasks (DB backups, cluster solutions, remote sites) 
advanced troubleshooting 
data restores ","TS3 +
opening cases on vendor's site (mainly evaluation of the need of opening it) 
participation on projects 
","TS4+
connection to development team (participation on infrastructure related and product development related tasks) ","SA3 
cooperation with product team and overlaping with product development ","SA4
consultancy, leader of project  
the most important projects - suggestions/solutions how to build the environment, etc. Respected middle man between product team and ops  ",SA5,,,,,,,,
Computing,Back Up ,Backup Technical Specialist ,Legato NetWorker ,,,,,,,,,,,,,,,,,
Computing,Back Up ,Backup Technical Specialist ,IBM TSM Backups ,,,,,,,,,,,,,,,,,
Computing,Back Up ,Backup Technical Specialist ,Veritas NetBackup ,,"Sub Competence Area: Windows / Unix advanced administration, AIX , Solaris, Virtualization, Citrix XenApp, Hyper-V, vmware, cluster solutions, DB backups deep knowledge","Basic backup decomm tasks 
Basic troubleshooting of failed backups 
reporting ","Basic backup implementation tasks 
advanced troubleshooting 
data restores ","More complex backup implementation tasks (DB backups, cluster solutions, remote sites) 
opening cases on vendor's site (mainly evaluation of the need of opening it) 
participation on projects 
","TS4+
connection to development team (participation on infrastructure related and product development related tasks) ",,"SA4
consultancy, leader of project  
the most important projects - suggestions/solutions how to build the environment, etc. Respected middle man between product team and ops  ",,,,,,,,,
Computing,Storage ,Storage Technical Specialist,NetApp,Skills,,"Basic understanding of ONTAP (7-mode & C-mode)and functionality of NAS & SAN protocols
Overview of hardware components for NetApp Storage Systems
Understanding of raid , aggregates, volumes, disk types. 
Basic administration : Create/delete/modify volume/LUN, identify failed drive
Open case with vendor","Basic Administration  & troubleshooting of NFS, CIFS, FC, iSCI protocol
Create/delete/modify  Vfiler/vserver 
Snapshot technology - schedule, restore
Understating  of Network terms - NIC, VLAN, trunk, port channel, LIF types
Understanding functionality of HA pair, Metrocluster, Nearstore
Using NetApp support site 
Using OnCommand Unified manager, performance manager, Netapp management console, Graphana","Administration  & troubleshooting of NFS, CIFS, FC, iSCI protocol
Basic performance troubleshooting 
Execute all failover related techniques and verification
Protection technologies : Snapvault, snapmirror, ndmp, snapshot
Understanding of Storage efficiency : deduplicaion , compression",,"Planing/perform/participate on upgrade/maintenance  
Understanding and implementation of name services: NIS, LDAP, DNS
Setup and implement netapp monitoring
Usage of netapp tools : Latx,  Interoperability Matrix Tool, Syslog translator, Active IQ
able to perform basic troubleshooting  and collect logs from Netapp, brocade, atto bridge 
Understanding and usage of perfstat & packet trace
Administration of Snapcreator","Advanced performance troubleshooting 
Plan and perform Ontap upgrade
Installation and administration of tiebreaker server, Oncomand unified manager, Performance manager 
Trobleshooting of netapp SAN switches & ATTO bridges 
Create/participate on creating of ducomenation of projects 
Knowledge transfer",,,,,,,,,
Computing,Storage ,Storage Technical Specialist,NetApp,Trainings & Certification,,"DATA ONTAP 7-Mode Fundamentals 
Clustered Data ONTAP Fundamentals 
ONTAP NAS Fundamentals
SAN Fundamentals on Data ONTAP 
Introduction to Clustered Data ONTAP Architecture
Introduction to snapshot and flexible volumes
Introduction to Aggregates and FlexVols in Clustered Data ONTAP 
Introduction to NetApp Storage System Basic Components ","Introduction to NFS in Clustered Data ONTAP 
Introduction to CIFS in Clustered Data ONTAP 
Introduction to SAN in Clustered Data ONTAP
Introduction to WAFL and Snapshot in Clustered Data ONTAP 
Introduction to High-Availability in Clustered Data ONTAP 
MetroCluster in ONTAP Overview 
Data Network Fundamentals
Introduction to Netapp Products

Certification: NetApp Certified Storage Associate
ITIL Foundation","Introduction to Networking in Clustered Data ONTAP - Assessment 
Introduction to Multi-Protocol Troubleshooting in Clustered Data ONTAP 
Introduction to Clustered Data ONTAP Basic Troubleshooting 
Performance Analysis Fundamentals on Data ONTAP
Fibre Channel SAN Troubleshooting 
Introduction to Multi-Protocol Troubleshooting in Clustered Data ONTAP 
Introduction to Data Protection in Clustered Data ONTAP 
NCDA boot camp (instructor led course)

Certification: Netapp Certified Data Management Administrator ",,"Introduction to Name Services in Clustered Data ONTAP 
Introduction to Multi-Protocol Troubleshooting in Clustered Data ONTAP 
Technical Overview of Snap Creator Framework
Interoperability Matrix Tool Fundamentals 
Virtualization Technology Fundamentals ","Installing Clustered Data ONTAP 
MetroCluster Ecosystem Troubleshooting (Tiebreaker)
SnapMirror Disaster Recovery 
SAN Design
SAN Implementation

Certification : NetApp Certified Implementation Engineer�SAN
                             NetApp Certified Implementation Engineer�Data Protection Specialist Preparation
                             ITIL SO (or IT4IT L1)",,,,,,,,,
Computing,Storage ,Storage Technical Specialist,Hitachi HDS (SAN),Skills,"Differentiate the types of the disk/all-flash storage solutions
Clarify the various Cloud storage considerations
SAN Basic Concepts,  Fibre Channel, SAN design and topology, switch management - tools","Gain a vendor neutral view of storage technology; Get the lowdown on everything from theory and concepts of data storage, through data security and virtualization, to management, performance","HCS; HDM - monitoring, managing; discovery; configure ports; allocate LDEV/LUN; multipaths; GAD; VSM concept;  HCS maintenance tasks","point in time copies and management; countinuous/asynchronous replication; implementation; testing; HUR; SI; TC; GAD; best practices, practical usage",,"Strong knowledge and skills in installing and supporting storage systems deployed as part of Hitachi enterprise storage solutions implementations. Determination and incident-resolution procedures, tools and techniques","Advanced knowledge skills and abilities to implement integrate and support Hitachi storage virtualization solutions by earning this certification. The test will validate that the successful candidate has knowledge and skills in implementing and supporting virtualization solutions running on Hitachi Virtual Storage Platform F and G series. This includes a thorough understanding of deployment and integration procedures and best practices and of the tools and techniques related to supporting the solutions. This test covers Hitachi Universal Volume Manager, Hitachi Command Suite, Hitachi Tiered Storage Manager, Hitachi Dynamic Provisioning and Hitachi Dynamic Tiering software, Hitachi Storage Advisor, as well as global-active device and virtual storage machine features.",,,,,,,,,
Computing,Storage ,Storage Technical Specialist,Hitachi HDS (SAN),Trainings & Certification,"SAN Prereq:
Foundations of Storage (SS0DG),
Storage Area networking Fundamentals (SN71DG)
",Storage Concepts: Storing And Managing Digital Data,"Storage administration (HQT-6740)

ITIL Foundation","Replication (HCE-3710)
",,"Hitachi Enterprise (HCE-4130)
","Storage
Virtualization (HCE-5730)
Replication (HCE-5710)

ITIL SO (or IT4IT L1)
ITIL CSI

",,,,,,,,,
Computing,Storage ,Storage Technical Specialist,IBM ,Skills,"Differentiate the types of the disk/all-flash storage solutions
Clarify the various Cloud storage considerations
SAN Basic Concepts,  Fibre Channel, SAN design and topology, switch management - tools","Gain a vendor neutral view of storage technology; Get the lowdown on everything from theory and concepts of data storage, through data security and virtualization, to management, performance","Understand customer requirements and position the correct solutions. Know what resources to engage to design the solution. Broad knowledge of the features, industry terminology, functions and benefits of IBM storage solutions and the broader IBM storage portfolio, including disk, tape, storage management software, and software defined storage.","Understands the workload characteristics that differentiate members of the IBM Storwize family, IBM FlashSystem V9000, IBM Spectrum Virtualize, and VersaStack solutions. This specialist can utilize all available IBM tools to design a solution based on the most appropriate IBM solutions and technologies that meet customer requirements.",,"Work independently to provide technical support, solution design including SAN, and implementation planning for the current IBM System Storage DS8000 Hybrid Storage and DS8880 All Flash family in an open systems and/or IBM z Systems mainframe ; Identify customer requirements and architect and design appropriate solutions to meet the requirements.","Design, plan and create an architecture with IBM Spectrum Storage solutions",,,,,,,,,
Computing,Storage ,Storage Technical Specialist,IBM ,Trainings & Certification,"SAN Prereq:
Foundations of Storage (SS0DG),
Storage Area networking Fundamentals (SN71DG)
",Storage Concepts: Storing And Managing Digital Data,"IBM Certified Specialist - Storage Technical V1

ITIL Foundation",IBM Certified Specialist - Virtualized Storage V1 ,,IBM Certified Specialist - Business Critical V1,"IBM Certified Solution Architect - Spectrum Storage V1 

ITIL SO (or IT4IT L1)
ITIL CSI",,,,,,,,,
Computing,Storage ,Storage Technical Specialist,"Dell (EMC, 
Compellent) ",Skills,"Differentiate the types of the disk/all-flash storage solutions
Clarify the various Cloud storage considerations
SAN Basic Concepts,  Fibre Channel, SAN design and topology, switch management - tools","Gain a vendor neutral view of storage technology; Get the lowdown on everything from theory and concepts of data storage, through data security and virtualization, to management, performance",,"Strong understanding of Dell EMC midrange storage solutions for the SC Series and Dell EMC Unity; product configurations, features, functionality, best practices and design considerations.

",,"Strong understanding of Dell EMC midrange storage solutions for the SC Series and Dell EMC Unity; product configurations, features, functionality, best practices and design considerations.

","Intermediate to advanced skill level tasks in deploying, management and troubleshooting the Dell EMC SC Series storage products",,,,,,,,,
Computing,Storage ,Storage Technical Specialist,"Dell (EMC, 
Compellent) ",Trainings & Certification,"SAN Prereq:
Foundations of Storage (SS0DG),
Storage Area networking Fundamentals (SN71DG)
",Storage Concepts: Storing And Managing Digital Data,ITIL Foundation,DECS-IE SC Series Manage,,DECS-IE SC Series Support,"DECE SC Series

ITIL SO (or IT4IT L1)
ITIL CSI",,,,,,,,,
Computing,Storage ,Storage Technical Specialist,Cisco & Brocade,Skills,"SAN Basic Concepts,  Fibre Channel, SAN design and topology, switch management - tools","Interconnecting CISCO devices, network fundamentals, LAN and SAN switching technologies, routing technologies, infrastructure services, and infrastructure maintenance","Brief training about HP blade enclosures and their parts. Touch it physically and inspect all parts.

Understand terms ... server bay, interconnect module, OA, VCM, FlexFabric, �","Brocade products; Firmware upgrades, zoning, fabric shortest path first, trunking, GEN5, GEN6 HW, Long Distance",,"install, configure, and maintain data center technology. Gain grounding in data center infrastructure, data center networking concepts and technologies, storage networking, unified computing, network virtualization, data center automation and orchestration;;  technical and process information needed to perform troubleshooting and data gathering tasks in Brocade Fibre Channel storage area networks based on Fabric OS and 16 & 32 Gbps Brocade products","Explain the techniques and information that will enable you to perform the initial software configuration of a Cisco MDS; upgrade the system software, and enable licensing; building a Cisco Fibre Channel SAN fabric including interfaces, VSANs, domains, port channels, device aliases, NPV, NPIV, and zones; intelligent SAN fabric services on specific Cisco MDS; security features on Cisco MDS",,,,,,,,,
Computing,Storage ,Storage Technical Specialist,Cisco & Brocade,Trainings & Certification,"SAN Prereq:
Foundations of Storage (SS0DG),
Storage Area networking Fundamentals (SN71DG)
",Cisco CCENT,HP Blade Systems essentials; ITIL Foundation,Brocade BASA-200,,"Cisco CCNA DC

Brocade SAN TS-300","Cisco DCMDSv2


ITIL SO (or IT4IT L1)
ITIL CSI",,,,,,,,,
Computing,UNIX,Unix Technical Specialist,Linux,RedHat6,Basic shell with Bash,"Basic shell commands:
(Create, delete, copy, and move files and directories and edit text files)
- Account Management ( useradd / usermod )
- List, set, and change standard ugo/rwx permissions
- Firewall - basic understanding and ability to identify showstopper (RH)
- Basic differences between RHEL 6 and RHEL 7
- LVM basic operations (list, create filesystem,extend Filesystem)  (RH)
- Access remote systems using SSH, OA, iLO
- Use system documentation (man pages...)","Troubleshooting (locate and read log files, filesystems usage, system utilization, HW failures...)
- Network configuration (IP, routes, ...)
- Firewall (iptables, firewalld)
- List and identify running processes and start-up services
- Disk operations (LVM)
- Basic knowledge about cluster systems
- Basic overview about server virtualization VMware, Hyper-V and physical servers
- Knowledge about additional permissions ACL
- Basic knowledge about repository handling","System updates with troubleshooting
- Package installation/reinstallation/uninstallation from repository and unexpected dependencies
- Advanced disk operations
- Advanced network configuration, firewall
- Knowledge about network shares
- Cluster management
- Knowledge about scripting and automation
- Basic SELinux operations",,,,,,,,,,,,
Computing,UNIX,Unix Technical Specialist,,RedHat7,Basic shell with Bash,,,,,,,,,,,,,,,
Computing,UNIX,Unix Technical Specialist,,"SuSe (11, 12)",Basic shell with Bash,,,,,,,,,,,,,,,
Computing,UNIX,Unix Technical Specialist,,"CentOs (6,7)",Basic shell with Bash,,,,,,,,,,,,,,,
Computing,UNIX,Unix Technical Specialist,Solaris ,,Basic shell with Bash,"Account Management ( useradd / usermod on Solaris ) 
- Acl on Solaris using chmod
- Diffrent between Solaris 10 and 11
- ZFS filesystem basic operations
- Access servers via remote iLom / Alom
- Process check
","Basic knowledge about Solaris LDM virtualization
- Access virtual server from Logical Domain Controller
- Knowledge about use Solaris Local zones
- Knowledge about Solaris cluster resource migration / disable / enable
- Process and services management","ZFS filesystem management
- System update on Solaris 10/11
- Cluster Management
- Pkg installation from local/remote repository
- Oracle support cases
- UFS Filesystem basic management
- Bash scripting on Solaris
- Disk operations
- Hardware issue troubleshooting",,,,,,,,,,,,
Computing,UNIX,Unix Technical Specialist,HP,,,"User management
- LVM basic commands
- file and dir management �acl, chmod, etc....�
- vxfs, hfs � managment �extend  fs�
- MP, ILO � remote connection
","Basic knowledge about virtualization �diffrences between vpar, hpvm�
- Basic Cluster commands �serviceguard�
- Access virtual server from host
","Advanced knowledge about virtualization �vpar, hpvm�
- Advanced Cluster commands �serviceguard�
- Advanced work with bash, sh �scripts�
",,,,,,,,,,,,
Computing,UNIX,Unix Technical Specialist,SUSE ,SuSe Manager,not applicable ,able to install package from configured repo,,,,,,,,,,,,,,
Computing,UNIX,Unix Technical Specialist,RedHat ,Satellite,not applicable ,able to install package from configured repo,register server to Satellite/RHN,"server repository based troubleshooting, RHN registration",,,,,,,,,,,,
Computing,UNIX,Unix Technical Specialist,Symantec,Veritas,not applicable ,not applicable ,,,,,,,,,,,,,,
Computing,UNIX,Unix Technical Specialist,Tieto TOOLS ,Automation tool,not applicable ,#NAME?,"RSCD agent (installation,configuration, troubleshooting - scope existing BSA documentation)
- Import server into BSA console - full","BSA property (all  needed for our daily duty)
- RSCD agent upgrade",development of BSA job/scripts,,,,,,,,,,,
Computing,UNIX,Unix Technical Specialist,Tieto TOOLS ,Monitoring ,not applicable ,"login to Patrol Cental Operator/BPPM console/TS 
- search server
- inspect actual alarms",analyse alarms in Patrol/BPPM Consoles,server monitoring updates (exclusions) - from ticket analysis - to technical proposal of tunning,,,,,,,,,,,,
Computing,UNIX,Unix Technical Specialist,Tieto TOOLS ,Backup ,not applicable ,"basic overview - which backup methods TE uses, how it logically works","install backup client using existing howto
- ability to perform restore (business and technical process) ","troubleshoot backup client
- implement backup exclusions
","analyse, design, implementation verification of customized backup solutions ",,,,,,,,,,,
Computing,UNIX,Unix Technical Specialist,Tieto TOOLS ,Storage ,not applicable ,basic overview - SAN disk,basic overview - SAN disk,"troubleshooting/fixes Multipath failures
- Implement SAN disk to server
- Implement SAN disk extensions (busines and technical process)","design clustered SAN based solutions
- Implement clustered SAN based solutions
- troubleshoot clustered SAN based solutions",,,,,,,,,,,
Computing,UNIX,Unix Technical Specialist,Tieto TOOLS ,SN/TONE (ticketing tool),not applicable ,"login to Tone/Snow (RH)
- Tone/Snow - basic usage:
- - search and use Tone/Snow KBs (RH)
- - search Tone/Snow Incidents, Server CI records, Network adapters, KBs (RH)",,complicated ticket analysis based on CI Name  or Ticket Description,design + implement customized reports,,,,,,,,,,,
Computing,UNIX,Unix Technical Specialist,Tieto TOOLS ,CMDB,not applicable ,search and understand servers Ci,perform CI updates,,,,,,,,,,,,,
Computing,UNIX,Unix Technical Specialist,Scripting ,Bash,not applicable ,"basic command usage (cp,rm, du,df,top,free)","bash fullscope command line usage, ",scripting to automate basic routines,"development of BASH scripts (analysis, pmelementation,testing)",,,,,,,,,,,
Computing,UNIX,Unix Technical Specialist,Certification,Certification,not applicable ,RHSA (after two years - at worst),,RHCE (after two years),,,,,,,,,,,,
Computing,UNIX,Unix Technical Specialist,Virtualization,Vmware,not applicable ,"login to Vcenter, search server, start stop restart server","add memory, add CPU, add disk",edit server properties and features,,,,,,,,,,,,
Computing,UNIX,Unix Technical Specialist,Virtualization,Hyper-V,not applicable ,"login to Management console, search server, start stop restart server","add memory, add CPU, add disk",edit server properties and features,,,,,,,,,,,,
Computing,UNIX,Unix Technical Specialist,Other ,Other,,"use our wikis
- understand team goals
- know+follow service rules (ticket priority)
- use google
- use Redhat/SuSE Documentation
- use shiftmaster

","overview  - how to find out documentation (technical, process, customer), 
- queues we are daily cooperating with .....
- service scope
- incident X request X change request","creates new technical processes
- reviews/updates existing processes
- create, design, implement, resolve, evaluate Change request",,,,,,,,,,,,
Connectivity ,Connectivity ,Network Technical Specialist ,BIG-IP F5,LTM,not applicable,basic,intermediate,advanced,expert,advanced,expert,expert,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
Connectivity ,Connectivity ,Network Technical Specialist ,BIG-IP F5,iRules,not applicable,not applicable,basic,intermediate,advanced,intermediate,advanced,expert,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
Connectivity ,Connectivity ,Network Technical Specialist ,BIG-IP F5,Viprion,not applicable,not applicable,basic,intermediate,advanced,intermediate,advanced,expert,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
Connectivity ,Connectivity ,Network Technical Specialist ,BIG-IP F5,ASM,not applicable,basic,intermediate,advanced,expert,advanced,expert,expert,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
Connectivity ,Connectivity ,Network Technical Specialist ,BIG-IP F5,APM,not applicable,basic,intermediate,advanced,expert,advanced,expert,expert,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
Connectivity ,Connectivity ,Network Technical Specialist ,BIG-IP F5,AFM,not applicable,basic,intermediate,advanced,expert,advanced,expert,expert,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
Connectivity ,Connectivity ,Network Technical Specialist ,BIG-IP F5,WAM,not applicable,not applicable,basic,intermediate,advanced,intermediate,advanced,expert,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
Connectivity ,Connectivity ,Network Technical Specialist ,CISCO,Routing,basic,intermediate,intermediate,advanced,expert,advanced,expert,expert,basic,basic,basic,basic,basic,basic,basic,basic
Connectivity ,Connectivity ,Network Technical Specialist ,CISCO,Routing.Nexus,not applicable,basic,intermediate,advanced,expert,advanced,expert,expert,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
Connectivity ,Connectivity ,Network Technical Specialist ,CISCO,Routing.ASR,not applicable,basic,intermediate,advanced,expert,advanced,expert,expert,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
Connectivity ,Connectivity ,Network Technical Specialist ,CISCO,Switching,basic,intermediate,intermediate,advanced,expert,advanced,expert,expert,basic,basic,basic,basic,basic,basic,basic,basic
Connectivity ,Connectivity ,Network Technical Specialist ,CISCO,Switching.Nexus,not applicable,basic,intermediate,advanced,expert,advanced,expert,expert,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
Connectivity ,Connectivity ,Network Technical Specialist ,CISCO,Firewall.ASA,not applicable,basic,intermediate,advanced,expert,advanced,expert,expert,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
Connectivity ,Connectivity ,Network Technical Specialist ,CISCO,Wireless,not applicable,basic,intermediate,advanced,expert,advanced,expert,expert,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
Connectivity ,Connectivity ,Network Technical Specialist ,CISCO,Meraki,not applicable,basic,basic,intermediate,advanced,intermediate,advanced,advanced,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
Connectivity ,Connectivity ,Network Technical Specialist ,CISCO,VPN,not applicable,basic,intermediate,advanced,expert,advanced,expert,expert,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
Connectivity ,Connectivity ,Network Technical Specialist ,Juniper,Routing,basic,intermediate,intermediate,advanced,expert,advanced,expert,expert,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
Connectivity ,Connectivity ,Network Technical Specialist ,Juniper,Switching,basic,intermediate,intermediate,advanced,expert,advanced,expert,expert,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
Connectivity ,Connectivity ,Network Technical Specialist ,Juniper,Firewall.SRX,not applicable,basic,intermediate,advanced,expert,advanced,expert,expert,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
Connectivity ,Connectivity ,Network Technical Specialist ,Juniper,VPN.IPsec,not applicable,basic,intermediate,advanced,expert,advanced,expert,expert,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
Connectivity ,Connectivity ,Network Technical Specialist ,Juniper,VPN.SSL,not applicable,basic,intermediate,advanced,expert,advanced,expert,expert,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
Connectivity ,Connectivity ,Network Technical Specialist ,CheckPoint,Firewall.GAIA,not applicable,basic,intermediate,advanced,expert,advanced,expert,expert,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
Connectivity ,Connectivity ,Network Technical Specialist ,CheckPoint,Firewall.IPSO,not applicable,basic,intermediate,advanced,expert,advanced,expert,expert,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
Connectivity ,Connectivity ,Network Technical Specialist ,Fortinet,Firewall,not applicable,basic,intermediate,advanced,expert,advanced,expert,expert,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
Connectivity ,Connectivity ,Network Technical Specialist ,Fortinet,VPN,not applicable,basic,intermediate,advanced,expert,advanced,expert,expert,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
Connectivity ,Connectivity ,Network Technical Specialist ,Aruba,Wireless,not applicable,basic,intermediate,advanced,expert,advanced,expert,expert,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
Connectivity ,Connectivity ,Network Technical Specialist ,Aruba,Switching,not applicable,basic,intermediate,advanced,expert,advanced,expert,expert,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
Connectivity ,Connectivity ,Network Technical Specialist ,HP,Wireless,not applicable,basic,intermediate,advanced,expert,advanced,expert,expert,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
Connectivity ,Connectivity ,Network Technical Specialist ,HP,Switching,not applicable,basic,intermediate,advanced,expert,advanced,expert,expert,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
Connectivity ,Connectivity ,Network Technical Specialist ,Dell,Switching,not applicable,basic,intermediate,advanced,expert,advanced,expert,expert,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
